FECHA (YYMMDD),Registros
150129.0,7.75
150130.0,7.29166
150131.0,5.5
150201.0,6.95833
150202.0,10.2083
150203.0,8.5
150204.0,8.95651
150205.0,7.45833
150206.0,6.25
150207.0,7.45833
150208.0,4.54166
150209.0,5.08333
150210.0,6.29166
150211.0,6.5
150212.0,6.95833
150213.0,8.5
150214.0,8.625
150215.0,5.70833
150216.0,7.25
150217.0,9.45833
150218.0,7.70833
150219.0,7.56522
150220.0,10.875
150221.0,11.4167
150222.0,7.1304300000000005
150223.0,9.0
150224.0,10.1304
150225.0,11.375
150226.0,19.8333
150227.0,22.7917
150228.0,15.0
150301.0,13.2917
150302.0,10.2083
150303.0,6.91666
150304.0,9.125
150305.0,9.16666
150306.0,5.45833
150307.0,6.625
150308.0,6.33333
150309.0,9.70833
150310.0,7.45833
150311.0,7.5
150312.0,9.25
150313.0,9.91666
150314.0,8.95833
150315.0,8.08333
150316.0,9.75
150317.0,8.04166
150318.0,9.875
150319.0,11.375
150320.0,7.0
150321.0,11.7083
150322.0,13.6087
150323.0,11.5417
150324.0,19.7391
150325.0,17.375
150326.0,17.2083
150327.0,21.2083
150328.0,13.125
150329.0,7.0
150330.0,8.66666
150331.0,13.0
150401.0,13.7083
150402.0,7.33333
150403.0,10.7083
150404.0,9.913039999999999
150405.0,8.54166
150406.0,17.2083
150407.0,12.9167
150408.0,10.3333
150409.0,11.375
150410.0,14.375
150411.0,18.625
150412.0,27.7083
150413.0,12.7083
150414.0,22.0417
150415.0,46.7083
150416.0,33.2916
150417.0,37.7916
150418.0,32.5
150419.0,41.9565
150420.0,30.0
150421.0,70.625
150422.0,114.583
150423.0,90.8333
150424.0,68.0833
150425.0,27.3333
150426.0,60.5833
150427.0,40.5833
150428.0,30.1818
150429.0,21.4583
150430.0,54.8333
150501.0,50.5
150502.0,67.9166
150503.0,48.1666
150504.0,53.2916
150505.0,118.167
150506.0,122.708
150507.0,141.792
150508.0,25.8333
150509.0,22.125
150510.0,84.875
150511.0,55.6666
150512.0,47.4348
150513.0,75.9166
150514.0,81.9166
150515.0,24.2671
150516.0,15.7396
150517.0,28.4071
150518.0,44.8066
150519.0,29.1179
150520.0,20.1409
150521.0,30.0687
150522.0,19.0258
150523.0,89.1512
150524.0,92.8752
150525.0,171.822
150526.0,91.1948
150527.0,130.957
150528.0,50.7399
150529.0,41.6558
150530.0,26.6758
150531.0,21.246
150601.0,18.0624
150602.0,12.5436
150603.0,38.4684
150604.0,16.5857
150605.0,18.609
150606.0,20.3982
150607.0,38.794000000000004
150608.0,37.4991
150609.0,34.0074
150610.0,44.3449
150611.0,76.9662
150612.0,42.9108
150613.0,20.9821
150614.0,33.2324
150615.0,50.0866
150616.0,29.1058
150617.0,140.125
150618.0,123.37200000000001
150619.0,86.7236
150620.0,141.16899999999998
150621.0,94.3958
150622.0,145.813
150623.0,133.243
150624.0,41.4753
150625.0,24.4675
150626.0,83.1836
150627.0,71.2725
150628.0,185.28900000000002
150629.0,84.8932
150630.0,60.9199
150701.0,70.9282
150702.0,123.63
150703.0,88.7028
150704.0,79.2961
150705.0,23.372
150706.0,36.9984
150707.0,18.9808
150708.0,30.5007
150709.0,47.6411
150710.0,115.772
150711.0,48.8336
150712.0,47.108999999999995
150713.0,49.2891
150714.0,34.391999999999996
150715.0,17.3316
150716.0,25.5368
150717.0,30.6267
150718.0,32.895
150719.0,80.1102
150720.0,85.0591
150721.0,76.1228
150722.0,64.73899999999999
150723.0,84.0566
150724.0,81.3219
150725.0,14.7308
150726.0,10.7791
150727.0,19.5434
150728.0,41.9925
150729.0,37.5717
150730.0,42.3995
150731.0,12.5808
150801.0,15.232000000000001
150802.0,21.8758
150803.0,78.7722
150804.0,65.6544
150805.0,10.2523
150806.0,32.6511
150807.0,29.1797
150808.0,50.8383
150809.0,22.3727
150810.0,90.8942
150811.0,127.788
150812.0,132.458
150813.0,106.46
150814.0,36.3503
150815.0,66.2256
150816.0,117.06700000000001
150817.0,36.161
150818.0,37.955
150819.0,60.1257
150820.0,47.8731
150821.0,20.5829
150822.0,25.3569
150823.0,27.2701
150824.0,22.6399
150825.0,12.5226
150826.0,24.0666
150827.0,15.6062
150828.0,9.69427
150829.0,41.7234
150830.0,34.7824
150831.0,31.8575
150901.0,60.0396
150902.0,58.3127
150903.0,39.5513
150904.0,56.6511
150905.0,39.6249
150906.0,-1.0
150907.0,-1.0
150908.0,41.5601
150909.0,48.6934
150910.0,45.1732
150911.0,64.6622
150912.0,48.6246
150913.0,70.9009
150914.0,62.9586
150915.0,51.2249
150916.0,80.1649
150917.0,85.6255
150918.0,63.0475
150919.0,61.2969
150920.0,50.3491
150921.0,37.5735
150922.0,60.3037
150923.0,27.5887
150924.0,11.8844
150925.0,26.965999999999998
150926.0,26.9236
150927.0,9.4794
150928.0,23.5294
150929.0,32.277
150930.0,49.6462
151001.0,12.2545
151002.0,12.2016
151003.0,19.7418
151004.0,8.101560000000001
151005.0,8.9857
151006.0,13.0858
151007.0,21.0046
151008.0,54.0643
151009.0,32.8464
151010.0,7.649539999999999
151011.0,18.4181
151012.0,18.2058
151013.0,22.0
151014.0,19.1147
151015.0,24.8906
151016.0,40.0993
151017.0,27.5642
151018.0,6.870410000000001
151019.0,8.572980000000001
151020.0,12.2957
151021.0,20.1938
151022.0,17.8265
151023.0,17.4161
151024.0,11.8311
151025.0,8.947280000000001
151026.0,15.5276
151027.0,14.0561
151028.0,12.1078
151029.0,11.2962
151030.0,10.1222
151031.0,7.72404
151101.0,6.38129
151102.0,9.40395
151103.0,11.0947
151104.0,13.2812
151105.0,7.51978
151106.0,6.847239999999999
151107.0,6.31974
151108.0,6.09866
151109.0,7.0340300000000004
151110.0,5.42445
151111.0,9.27895
151112.0,8.35507
151113.0,5.64795
151114.0,5.15891
151115.0,2.34512
151116.0,4.94991
151117.0,10.1572
151118.0,21.424
151119.0,20.7182
151120.0,12.3457
151121.0,7.21812
151122.0,5.52237
151123.0,7.931989999999999
151124.0,6.669410000000001
151125.0,6.399369999999999
151126.0,5.7382
151127.0,3.44595
151128.0,5.18924
151129.0,2.30271
151130.0,2.64958
151201.0,4.445209999999999
151202.0,7.4724
151203.0,4.44128
151204.0,2.95316
151205.0,3.4040800000000004
151206.0,2.16166
151207.0,5.24662
151208.0,4.62066
151209.0,4.15189
151210.0,2.35187
151211.0,2.86774
151212.0,2.3989599999999998
151213.0,4.2410000000000005
151214.0,2.61754
151215.0,5.13745
151216.0,2.7500400000000003
151217.0,3.04483
151218.0,4.11345
151219.0,3.1308700000000003
151220.0,3.16695
151221.0,4.34579
151222.0,1.9385
151223.0,2.62875
151224.0,3.7200800000000003
151225.0,3.70004
151226.0,3.13
151227.0,3.4704599999999997
151228.0,3.7739599999999998
151229.0,4.17408
151230.0,3.04771
151231.0,22.1597
160101.0,4.2918199999999995
160102.0,1.40821
160103.0,2.3252900000000003
160104.0,2.8595200000000003
160105.0,5.9952
160106.0,6.06024
160107.0,8.62694
160108.0,9.76849
160109.0,6.3832
160110.0,5.07212
160111.0,5.221080000000001
160112.0,2.8142099999999997
160113.0,3.3805
160114.0,2.88504
160115.0,5.5917
160116.0,4.0690800000000005
160117.0,2.47116
160118.0,4.12579
160119.0,2.39725
160120.0,3.0826599999999997
160121.0,5.7387
160122.0,1.39879
160123.0,3.9117900000000003
160124.0,1.9255
160125.0,2.26865
160126.0,1.15971
160127.0,1.08692
160128.0,1.0
160129.0,1.37246
160130.0,2.79812
160131.0,4.192080000000001
160201.0,-1.0
160202.0,4.05379
160203.0,4.9122
160204.0,4.275119999999999
160205.0,5.08833
160206.0,8.56819
160207.0,6.0995800000000004
160208.0,6.40073
160209.0,5.30875
160210.0,8.81291
160211.0,11.0463
160212.0,4.78549
160213.0,3.43654
160214.0,3.93166
160215.0,3.60466
160216.0,4.30054
160217.0,6.18446
160218.0,5.29858
160219.0,4.2744800000000005
160220.0,3.94421
160221.0,3.3165
160222.0,2.93525
160223.0,5.12817
160224.0,4.8132
160225.0,4.94766
160226.0,7.16132
160227.0,8.61507
160228.0,6.9202
160229.0,7.2332
160301.0,6.96312
160302.0,9.07495
160303.0,3.77662
160304.0,11.3185
160305.0,10.7425
160306.0,8.511989999999999
160307.0,7.07937
160308.0,6.3232
160309.0,4.30816
160310.0,9.02399
160311.0,7.11045
160312.0,11.880999999999998
160313.0,8.993030000000001
160314.0,7.892360000000001
160315.0,8.07553
160316.0,12.5636
160317.0,9.30981
160318.0,11.8697
160319.0,6.78328
160320.0,8.24878
160321.0,6.85263
160322.0,6.55241
160323.0,6.8350800000000005
160324.0,10.0393
160325.0,22.2633
160326.0,15.3776
160327.0,12.9757
160328.0,19.6387
160329.0,28.3983
160330.0,13.9282
160331.0,5.54253
160401.0,13.2229
160402.0,22.7349
160403.0,21.3676
160404.0,28.4446
160405.0,36.0216
160406.0,24.0347
160407.0,22.5878
160408.0,31.1417
160409.0,40.2224
160410.0,23.9998
160411.0,31.2789
160412.0,34.9612
160413.0,17.7743
160414.0,5.343780000000001
160415.0,5.4829099999999995
160416.0,16.4712
160417.0,33.2188
160418.0,81.7432
160419.0,25.0945
160420.0,12.4323
160421.0,61.5676
160422.0,23.9945
160423.0,16.7606
160424.0,52.9312
160425.0,73.9253
160426.0,65.5114
160427.0,66.1537
160428.0,104.164
160429.0,93.3483
160430.0,99.8062
160501.0,53.3541
160502.0,43.1129
160503.0,69.4769
160504.0,70.1029
160505.0,87.5853
160506.0,84.9161
160507.0,81.9349
160508.0,53.0768
160509.0,81.1891
160510.0,109.006
160511.0,32.7442
160512.0,32.3379
160513.0,72.8607
160514.0,44.7791
160515.0,41.4638
160516.0,91.7267
160517.0,85.1995
160518.0,59.8287
160519.0,70.0782
160520.0,105.49700000000001
160521.0,62.6978
160522.0,127.40100000000001
160523.0,126.76899999999999
160524.0,39.3875
160525.0,23.105
160526.0,48.8716
160527.0,105.189
160528.0,61.8349
160529.0,49.1216
160530.0,52.7863
160531.0,53.0496
160601.0,44.4296
160602.0,91.7163
160603.0,44.9521
160604.0,34.2908
160605.0,59.1025
160606.0,39.6126
160607.0,82.9187
160608.0,51.9562
160609.0,69.2859
160610.0,154.447
160611.0,123.572
160612.0,163.31
160613.0,138.37
160614.0,71.5033
160615.0,96.5183
160616.0,146.871
160617.0,144.804
160618.0,148.537
160619.0,105.065
160620.0,69.4708
160621.0,142.89600000000002
160622.0,73.0616
160623.0,85.3004
160624.0,95.4033
160625.0,52.0742
160626.0,125.55
160627.0,117.979
160628.0,115.48200000000001
160629.0,87.8408
160630.0,69.9703
160701.0,132.408
160702.0,128.159
160703.0,215.312
160704.0,207.50799999999998
160705.0,109.45700000000001
160706.0,34.6367
160707.0,69.7617
160708.0,44.1008
160709.0,51.0496
160710.0,18.625
160711.0,25.3463
160712.0,64.2932
160713.0,27.8774
160714.0,41.0192
160715.0,53.4846
160716.0,97.6108
160717.0,43.3833
160718.0,73.2325
160719.0,71.0195
160720.0,46.0516
160721.0,49.1471
160722.0,35.2398
160723.0,34.0787
160724.0,43.0129
160725.0,39.6669
160726.0,106.735
160727.0,89.9142
160728.0,38.7542
160729.0,39.4141
160730.0,32.8267
160731.0,26.3223
160801.0,68.0023
160802.0,88.9229
160803.0,38.3552
160804.0,42.0883
160805.0,31.3057
160806.0,14.0751
160807.0,25.8124
160808.0,104.432
160809.0,102.031
160810.0,58.7817
160811.0,40.5194
160812.0,46.0358
160813.0,50.8158
160814.0,30.0074
160815.0,20.1464
160816.0,17.1795
160817.0,14.4043
160818.0,22.8041
160819.0,38.5468
160820.0,79.464
160821.0,80.2271
160822.0,73.814
160823.0,32.8729
160824.0,20.48
160825.0,15.6625
160826.0,67.2882
160827.0,85.7625
160828.0,58.0758
160829.0,27.5392
160830.0,32.4772
160831.0,66.918
160901.0,128.49
160902.0,50.3793
160903.0,7.87759
160904.0,21.5646
160905.0,66.6448
160906.0,57.8513
160907.0,44.5692
160908.0,41.75
160909.0,24.013
160910.0,34.5032
160911.0,21.0965
160912.0,7.4072
160913.0,32.4391
160914.0,45.6283
160915.0,40.0078
160916.0,56.4908
160917.0,38.6525
160918.0,31.6424
160919.0,22.8918
160920.0,24.4198
160921.0,17.5881
160922.0,41.9171
160923.0,26.6682
160924.0,28.8436
160925.0,23.0251
160926.0,23.9372
160927.0,18.3369
160928.0,31.5425
160929.0,6.98833
160930.0,10.0078
161001.0,23.4249
161002.0,21.0956
161003.0,23.3935
161004.0,21.1687
161005.0,31.8706
161006.0,11.5079
161007.0,23.3325
161008.0,18.2556
161009.0,20.6421
161010.0,8.44946
161011.0,21.2192
161012.0,17.9769
161013.0,12.3145
161014.0,17.97
161015.0,14.2433
161016.0,18.7324
161017.0,14.45
161018.0,25.8733
161019.0,17.2067
161020.0,11.3926
161021.0,8.285630000000001
161022.0,8.55463
161023.0,12.7291
161024.0,9.631739999999999
161025.0,5.67059
161026.0,4.98692
161027.0,6.985869999999999
161028.0,5.49225
161029.0,5.63971
161030.0,2.85475
161031.0,13.637
161101.0,21.0573
161102.0,12.077
161103.0,5.2083699999999995
161104.0,2.3740900000000003
161105.0,3.14392
161106.0,4.13229
161107.0,5.15305
161108.0,5.88783
161109.0,6.50056
161110.0,7.7315
161111.0,7.78719
161112.0,5.51279
161113.0,4.85879
161114.0,4.9233
161115.0,7.01077
161116.0,-1.0
161117.0,-1.0
161118.0,5.2933900000000005
161119.0,6.768619999999999
161120.0,6.643330000000001
161121.0,8.3625
161122.0,14.1713
161123.0,9.52542
161124.0,11.892999999999999
161125.0,15.4205
161126.0,3.7721699999999996
161127.0,1.48292
161128.0,3.49696
161129.0,4.63313
161130.0,5.45695
161201.0,2.61237
161202.0,4.4614199999999995
161203.0,4.80904
161204.0,4.68854
161205.0,3.3873699999999998
161206.0,5.01337
161207.0,3.20687
161208.0,3.64917
161209.0,3.87212
161210.0,1.9528299999999998
161211.0,2.313
161212.0,3.66341
161213.0,3.77579
161214.0,4.82271
161215.0,3.2284200000000003
161216.0,3.9914199999999997
161217.0,3.5128699999999995
161218.0,3.2084200000000003
161219.0,3.5560400000000003
161220.0,5.05842
161221.0,3.7443699999999995
161222.0,4.037059999999999
161223.0,2.64675
161224.0,3.40337
161225.0,3.5526199999999997
161226.0,2.88996
161227.0,3.3456599999999996
161228.0,2.66141
161229.0,3.01562
161230.0,2.32812
