FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190628;0600;;8;;
190628;0700;;17;;
190628;0800;;28;;
190628;0900;;29;;
190628;1000;;22;;
190628;1100;;16;;
190628;1200;;19;;
190628;1300;;20;;
190628;1400;;29;;
190628;1500;;21;;
190628;1600;;27;;
190628;1700;;32;;
190628;1800;;37;;
190628;1900;;31;;
190628;2000;;48;;
190628;2100;;57;;
190628;2200;;54;;
190628;2300;;31;;
190629;0000;;19;;
190629;0100;;11;;
190629;0200;;13;;
190629;0300;;11;;
190629;0400;;13;;
190629;0500;;11;;
190629;0600;;6;;
190629;0700;;6;;
190629;0800;;10;;
190629;0900;;21;;
190629;1000;;20;;
190629;1100;;11;;
190629;1200;;10;;
190629;1300;;10;;
190629;1400;;10;;
190629;1500;;9;;
190629;1600;;18;;
190629;1700;;44;;
190629;1800;;82;;
190629;1900;;104;;
190629;2000;;95;;
190629;2100;;76;;
190629;2200;;56;;
190629;2300;;50;;
190630;0000;;35;;
190630;0100;;26;;
190630;0200;;21;;
190630;0300;;12;;
190630;0400;;19;;
190630;0500;;13;;
190630;0600;;11;;
190630;0700;;7;;
190630;0800;;11;;
190630;0900;;18;;
190630;1000;;19;;
190630;1100;;29;;
190630;1200;;30;;
190630;1300;;23;;
190630;1400;;37;;
190630;1500;;24;;
190630;1600;;20;;
190630;1700;;47;;
190630;1800;;51;;
190630;1900;;59;;
190630;2000;;50;;
190630;2100;;41;;
190630;2200;;42;;
190630;2300;;100;;
190701;0000;;166;;
190701;0100;;163;;
190701;0200;;116;;
190701;0300;;83;;
190701;0400;;59;;
190701;0500;;41;;
190701;0600;;38;;
190701;0700;;45;;
190701;0800;;51;;
190701;0900;;67;;
190701;1000;;52;;
190701;1100;;41;;
190701;1200;;43;;
190701;1300;;15;;
190701;1400;;11;;
190701;1500;;12;;
190701;1600;;11;;
190701;1700;;19;;
190701;1800;;18;;
190701;1900;;11;;
190701;2000;;13;;
190701;2100;;10;;
190701;2200;;11;;
190701;2300;;7;;
190702;0000;;7;;
190702;0100;;7;;
190702;0200;;10;;
190702;0300;;10;;
190702;0400;;5;;
190702;0500;;2;;
190702;0600;;2;;
190702;0700;;8;;
190702;0800;;16;;
190702;0900;;21;;
190702;1000;;22;;
190702;1100;;15;;
190702;1200;;11;;
190702;1300;;10;;
190702;1400;;7;;
190702;1500;;10;;
190702;1600;;19;;
190702;1700;;42;;
190702;1800;;68;;
190702;1900;;48;;
190702;2000;;51;;
190702;2100;;36;;
190702;2200;;34;;
190702;2300;;21;;
190703;0000;;19;;
190703;0100;;28;;
190703;0200;;12;;
190703;0300;;7;;
190703;0400;;5;;
190703;0500;;3;;
190703;0600;;1;;
190703;0700;;5;;
190703;0800;;8;;
190703;0900;;11;;
190703;1000;;23;;
190703;1100;;14;;
190703;1200;;10;;
190703;1300;;19;;
190703;1400;;12;;
190703;1500;;13;;
190703;1600;;16;;
190703;1700;;21;;
190703;1800;;21;;
190703;1900;;29;;
190703;2000;;45;;
190703;2100;;42;;
190703;2200;;82;;
190703;2300;;101;;
190704;0000;;89;;
190704;0100;;69;;
190704;0200;;57;;
190704;0300;;87;;
190704;0400;;30;;
190704;0500;;35;;
190704;0600;;16;;
190704;0700;;16;;
190704;0800;;14;;
190704;0900;;16;;
190704;1000;;15;;
190704;1100;;17;;
190704;1200;;8;;
190704;1300;;16;;
190704;1400;;18;;
190704;1500;;24;;
190704;1600;;18;;
190704;1700;;40;;
190704;1800;;92;;
190704;1900;;109;;
190704;2000;;74;;
190704;2100;;85;;
190704;2200;;126;;
190704;2300;;130;;
190705;0000;;205;;
190705;0100;;129;;
190705;0200;;89;;
190705;0300;;64;;
190705;0400;;60;;
190705;0500;;34;;
190705;0600;;50;;
190705;0700;;61;;
190705;0800;;96;;
190705;0900;;68;;
190705;1000;;22;;
190705;1100;;17;;
190705;1200;;13;;
190705;1300;;14;;
190705;1400;;10;;
190705;1500;;7;;
190705;1600;;19;;
190705;1700;;51;;
190705;1800;;67;;
190705;1900;;105;;
190705;2000;;74;;
190705;2100;;128;;
190705;2200;;156;;
190705;2300;;139;;
190706;0000;;70;;
190706;0100;;129;;
190706;0200;;63;;
190706;0300;;40;;
190706;0400;;35;;
190706;0500;;32;;
190706;0600;;36;;
190706;0700;;29;;
190706;0800;;29;;
190706;0900;;35;;
190706;1000;;81;;
190706;1100;;64;;
190706;1200;;54;;
190706;1300;;57;;
190706;1400;;21;;
190706;1500;;48;;
190706;1600;;44;;
190706;1700;;36;;
190706;1800;;60;;
190706;1900;;27;;
190706;2000;;19;;
190706;2100;;26;;
190706;2200;;22;;
190706;2300;;10;;
190707;0000;;12;;
190707;0100;;16;;
190707;0200;;12;;
190707;0300;;9;;
190707;0400;;8;;
190707;0500;;8;;
190707;0600;;6;;
190707;0700;;3;;
190707;0800;;5;;
190707;0900;;6;;
190707;1000;;8;;
190707;1100;;8;;
190707;1200;;8;;
190707;1300;;5;;
190707;1400;;7;;
190707;1500;;6;;
190707;1600;;8;;
190707;1700;;10;;
190707;1800;;7;;
190707;1900;;17;;
190707;2000;;30;;
190707;2100;;31;;
190707;2200;;29;;
190707;2300;;21;;
190708;0000;;11;;
190708;0100;;26;;
190708;0200;;13;;
190708;0300;;10;;
190708;0400;;6;;
190708;0500;;15;;
190708;0600;;15;;
190708;0700;;12;;
190708;0800;;8;;
190708;0900;;6;;
190708;1000;;21;;
190708;1100;;5;;
190708;1200;;6;;
190708;1300;;4;;
190708;1400;;3;;
190708;1500;;6;;
190708;1600;;6;;
190708;1700;;10;;
190708;1800;;8;;
190708;1900;;10;;
190708;2000;;8;;
190708;2100;;9;;
190708;2200;;8;;
190708;2300;;7;;
190709;0000;;6;;
190709;0100;;5;;
190709;0200;;3;;
190709;0300;;1;;
190709;0400;;3;;
190709;0500;;2;;
190709;0600;;1;;
190709;0700;;4;;
190709;0800;;8;;
190709;0900;;9;;
190709;1000;;10;;
190709;1100;;5;;
190709;1200;;2;;
190709;1300;;5;;
190709;1400;;4;;
190709;1500;;32;;
190709;1600;;8;;
190709;1700;;10;;
190709;1800;;20;;
190709;1900;;9;;
190709;2000;;7;;
190709;2100;;7;;
190709;2200;;6;;
190709;2300;;5;;
190710;0000;;2;;
190710;0100;;2;;
190710;0200;;4;;
190710;0300;;3;;
190710;0400;;1;;
190710;0500;;5;;
190710;0600;;5;;
190710;0700;;3;;
190710;0800;;9;;
190710;0900;;24;;
190710;1000;;44;;
190710;1100;;14;;
190710;1200;;13;;
190710;1300;;6;;
190710;1400;;4;;
190710;1500;;5;;
190710;1600;;12;;
190710;1700;;22;;
190710;1800;;45;;
190710;1900;;56;;
190710;2000;;45;;
190710;2100;;35;;
190710;2200;;20;;
190710;2300;;23;;
190711;0000;;24;;
190711;0100;;14;;
190711;0200;;10;;
190711;0300;;8;;
190711;0400;;7;;
190711;0500;;7;;
190711;0600;;7;;
190711;0700;;5;;
190711;0800;;11;;
190711;0900;;17;;
190711;1000;;30;;
190711;1100;;21;;
190711;1200;;12;;
190711;1300;;10;;
190711;1400;;6;;
190711;1500;;8;;
190711;1600;;14;;
190711;1700;;23;;
190711;1800;;36;;
190711;1900;;35;;
190711;2000;;37;;
190711;2100;;44;;
190711;2200;;33;;
190711;2300;;32;;
190712;0000;;24;;
190712;0100;;14;;
190712;0200;;16;;
190712;0300;;16;;
190712;0400;;9;;
190712;0500;;11;;
190712;0600;;8;;
190712;0700;;8;;
190712;0800;;9;;
190712;0900;;13;;
190712;1000;;34;;
190712;1100;;7;;
190712;1200;;7;;
190712;1300;;4;;
190712;1400;;1;;
190712;1500;;5;;
190712;1600;;10;;
190712;1700;;11;;
190712;1800;;12;;
190712;1900;;11;;
190712;2000;;10;;
190712;2100;;10;;
190712;2200;;11;;
190712;2300;;9;;
190713;0000;;5;;
190713;0100;;5;;
190713;0200;;5;;
190713;0300;;6;;
190713;0400;;7;;
190713;0500;;4;;
190713;0600;;4;;
190713;0700;;3;;
190713;0800;;10;;
190713;0900;;13;;
190713;1000;;12;;
190713;1100;;8;;
190713;1200;;5;;
190713;1300;;5;;
190713;1400;;9;;
190713;1500;;9;;
190713;1600;;24;;
190713;1700;;33;;
190713;1800;;40;;
190713;1900;;46;;
190713;2000;;70;;
190713;2100;;33;;
190713;2200;;18;;
190713;2300;;12;;
190714;0000;;12;;
190714;0100;;8;;
190714;0200;;5;;
190714;0300;;4;;
190714;0400;;3;;
190714;0500;;2;;
190714;0600;;4;;
190714;0700;;7;;
190714;0800;;11;;
190714;0900;;19;;
190714;1000;;13;;
190714;1100;;10;;
190714;1200;;5;;
190714;1300;;6;;
190714;1400;;6;;
190714;1500;;4;;
190714;1600;;10;;
190714;1700;;23;;
190714;1800;;50;;
190714;1900;;84;;
190714;2000;;104;;
190714;2100;;81;;
190714;2200;;73;;
190714;2300;;48;;
190715;0000;;22;;
190715;0100;;21;;
190715;0200;;11;;
190715;0300;;34;;
190715;0400;;27;;
190715;0500;;27;;
190715;0600;;26;;
190715;0700;;36;;
190715;0800;;38;;
190715;0900;;53;;
190715;1000;;68;;
190715;1100;;;125;
190715;1200;;56;;
190715;1300;;93;;
190715;1400;;36;;
190715;1500;;43;;
190715;1600;;47;;
190715;1700;;86;;
190715;1800;;145;;
190715;1900;;199;;
190715;2000;;156;;
190715;2100;;198;;
190715;2200;;253;;
190715;2300;;263;;
190716;0000;;166;;
190716;0100;;129;;
190716;0200;;72;;
190716;0300;;38;;
190716;0400;;25;;
190716;0500;;30;;
190716;0600;;29;;
190716;0700;;36;;
190716;0800;;26;;
190716;0900;;24;;
190716;1000;;40;;
190716;1100;;32;;
190716;1200;;27;;
190716;1300;;30;;
190716;1400;;20;;
190716;1500;;17;;
190716;1600;;11;;
190716;1700;;10;;
190716;1800;;14;;
190716;1900;;17;;
190716;2000;;15;;
190716;2100;;12;;
190716;2200;;16;;
190716;2300;;11;;
190717;0000;;10;;
190717;0100;;9;;
190717;0200;;6;;
190717;0300;;3;;
190717;0400;;3;;
190717;0500;;3;;
190717;0600;;3;;
190717;0700;;1;;
190717;0800;;1;;
190717;0900;;3;;
190717;1000;;5;;
190717;1100;;8;;
190717;1200;;9;;
190717;1300;;13;;
190717;1400;;13;;
190717;1500;;8;;
190717;1600;;12;;
190717;1700;;27;;
190717;1800;;22;;
190717;1900;;54;;
190717;2000;;52;;
190717;2100;;70;;
190717;2200;;39;;
190717;2300;;40;;
190718;0000;;46;;
190718;0100;;32;;
190718;0200;;17;;
190718;0300;;14;;
190718;0400;;11;;
190718;0500;;10;;
190718;0600;;11;;
190718;0700;;7;;
190718;0800;;14;;
190718;0900;;16;;
190718;1000;;48;;
190718;1100;;;;
190718;1200;;;;
190718;1300;;2;;
190718;1400;;6;;
190718;1500;;5;;
190718;1600;;7;;
190718;1700;;56;;
190718;1800;;114;;
190718;1900;;142;;
190718;2000;;103;;
190718;2100;;139;;
190718;2200;;144;;
190718;2300;;64;;
190719;0000;;43;;
190719;0100;;37;;
190719;0200;;29;;
190719;0300;;21;;
190719;0400;;17;;
190719;0500;;6;;
190719;0600;;7;;
190719;0700;;6;;
190719;0800;;9;;
190719;0900;;7;;
190719;1000;;7;;
190719;1100;;9;;
190719;1200;;10;;
190719;1300;;17;;
190719;1400;;49;;
190719;1500;;36;;
190719;1600;;37;;
190719;1700;;44;;
190719;1800;;62;;
190719;1900;;44;;
190719;2000;;73;;
190719;2100;;86;;
190719;2200;;13;;
190719;2300;;13;;
190720;0000;;11;;
190720;0100;;8;;
190720;0200;;7;;
190720;0300;;7;;
190720;0400;;5;;
190720;0500;;4;;
190720;0600;;5;;
190720;0700;;4;;
190720;0800;;5;;
190720;0900;;3;;
190720;1000;;3;;
190720;1100;;6;;
190720;1200;;4;;
190720;1300;;6;;
190720;1400;;6;;
190720;1500;;5;;
190720;1600;;13;;
190720;1700;;20;;
190720;1800;;10;;
190720;1900;;10;;
190720;2000;;13;;
190720;2100;;21;;
190720;2200;;14;;
190720;2300;;26;;
190721;0000;;10;;
190721;0100;;9;;
190721;0200;;11;;
190721;0300;;7;;
190721;0400;;7;;
190721;0500;;5;;
190721;0600;;5;;
190721;0700;;7;;
190721;0800;;6;;
190721;0900;;12;;
190721;1000;;15;;
190721;1100;;18;;
190721;1200;;28;;
190721;1300;;14;;
190721;1400;;13;;
190721;1500;;11;;
190721;1600;;18;;
190721;1700;;25;;
190721;1800;;31;;
190721;1900;;27;;
190721;2000;;34;;
190721;2100;;24;;
190721;2200;;19;;
190721;2300;;23;;
190722;0000;;27;;
190722;0100;;24;;
190722;0200;;18;;
190722;0300;;19;;
190722;0400;;16;;
190722;0500;;21;;
190722;0600;;15;;
190722;0700;;11;;
190722;0800;;22;;
190722;0900;;21;;
190722;1000;;22;;
190722;1100;;22;;
190722;1200;;21;;
190722;1300;;15;;
190722;1400;;10;;
190722;1500;;28;;
190722;1600;;16;;
190722;1700;;59;;
190722;1800;;134;;
190722;1900;;132;;
190722;2000;;319;;
190722;2100;;315;;
190722;2200;;706;;
190722;2300;;574;;
190723;0000;;448;;
190723;0100;;510;;
190723;0200;;355;;
190723;0300;;256;;
190723;0400;;176;;
190723;0500;;118;;
190723;0600;;82;;
190723;0700;;56;;
190723;0800;;66;;
190723;0900;;93;;
190723;1000;;30;;
190723;1100;;21;;
190723;1200;;15;;
