FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150905;0000;39,6249;;;
150906;0000;;;;
150907;0000;;;;
150908;0000;41,5601;;;
150909;0000;48,6934;;;
150910;0000;45,1732;;;
150911;0000;64,6622;;;
150912;0000;48,6246;;;
150913;0000;70,9009;;;
150914;0000;62,9586;;;
150915;0000;51,2249;;;
150916;0000;80,1649;;;
150917;0000;85,6255;;;
150918;0000;63,0475;;;
150919;0000;61,2969;;;
150920;0000;50,3491;;;
150921;0000;37,5735;;;
150922;0000;60,3037;;;
150923;0000;27,5887;;;
150924;0000;11,8844;;;
150925;0000;26,966;;;
150926;0000;26,9236;;;
150927;0000;9,4794;;;
150928;0000;23,5294;;;
150929;0000;32,277;;;
150930;0000;49,6462;;;
151001;0000;12,2545;;;
151002;0000;12,2016;;;
151003;0000;19,7418;;;
151004;0000;8,10156;;;
151005;0000;8,9857;;;
151006;0000;13,0858;;;
151007;0000;21,0046;;;
151008;0000;54,0643;;;
151009;0000;32,8464;;;
151010;0000;7,64954;;;
151011;0000;18,4181;;;
151012;0000;18,2058;;;
151013;0000;22;;;
151014;0000;19,1147;;;
151015;0000;24,8906;;;
151016;0000;40,0993;;;
151017;0000;27,5642;;;
151018;0000;6,87041;;;
151019;0000;8,57298;;;
151020;0000;12,2957;;;
151021;0000;20,1938;;;
151022;0000;17,8265;;;
151023;0000;17,4161;;;
151024;0000;11,8311;;;
151025;0000;8,94728;;;
151026;0000;15,5276;;;
151027;0000;14,0561;;;
151028;0000;12,1078;;;
151029;0000;11,2962;;;
151030;0000;10,1222;;;
151031;0000;7,72404;;;
151101;0000;6,38129;;;
151102;0000;9,40395;;;
151103;0000;11,0947;;;
151104;0000;13,2812;;;
151105;0000;7,51978;;;
151106;0000;6,84724;;;
151107;0000;6,31974;;;
151108;0000;6,09866;;;
151109;0000;7,03403;;;
151110;0000;5,42445;;;
151111;0000;9,27895;;;
151112;0000;8,35507;;;
151113;0000;5,64795;;;
151114;0000;5,15891;;;
151115;0000;2,34512;;;
151116;0000;4,94991;;;
151117;0000;10,1572;;;
151118;0000;21,424;;;
151119;0000;20,7182;;;
151120;0000;12,3457;;;
151121;0000;7,21812;;;
151122;0000;5,52237;;;
151123;0000;7,93199;;;
151124;0000;6,66941;;;
151125;0000;6,39937;;;
151126;0000;5,7382;;;
151127;0000;3,44595;;;
151128;0000;5,18924;;;
151129;0000;2,30271;;;
151130;0000;2,64958;;;
151201;0000;4,44521;;;
151202;0000;7,4724;;;
151203;0000;4,44128;;;
151204;0000;2,95316;;;
151205;0000;3,40408;;;
151206;0000;2,16166;;;
151207;0000;5,24662;;;
151208;0000;4,62066;;;
151209;0000;4,15189;;;
151210;0000;2,35187;;;
151211;0000;2,86774;;;
151212;0000;2,39896;;;
151213;0000;4,241;;;
151214;0000;2,61754;;;
151215;0000;5,13745;;;
151216;0000;2,75004;;;
151217;0000;3,04483;;;
151218;0000;4,11345;;;
151219;0000;3,13087;;;
151220;0000;3,16695;;;
151221;0000;4,34579;;;
151222;0000;1,9385;;;
151223;0000;2,62875;;;
151224;0000;3,72008;;;
151225;0000;3,70004;;;
151226;0000;3,13;;;
151227;0000;3,47046;;;
151228;0000;3,77396;;;
151229;0000;4,17408;;;
151230;0000;3,04771;;;
151231;0000;22,1597;;;
160101;0000;4,29182;;;
160102;0000;1,40821;;;
160103;0000;2,32529;;;
160104;0000;2,85952;;;
160105;0000;5,9952;;;
160106;0000;6,06024;;;
160107;0000;8,62694;;;
160108;0000;9,76849;;;
160109;0000;6,3832;;;
160110;0000;5,07212;;;
160111;0000;5,22108;;;
160112;0000;2,81421;;;
160113;0000;3,3805;;;
160114;0000;2,88504;;;
160115;0000;5,5917;;;
160116;0000;4,06908;;;
160117;0000;2,47116;;;
160118;0000;4,12579;;;
160119;0000;2,39725;;;
160120;0000;3,08266;;;
160121;0000;5,7387;;;
160122;0000;1,39879;;;
160123;0000;3,91179;;;
160124;0000;1,9255;;;
160125;0000;;;2,26865;
160126;0000;;;1,15971;
160127;0000;;;1,08692;
160128;0000;;;1;
160129;0000;;;1,37246;
160130;0000;2,79812;;;
160131;0000;4,19208;;;
160201;0000;;;;
160202;0000;4,05379;;;
160203;0000;4,9122;;;
160204;0000;4,27512;;;
160205;0000;5,08833;;;
160206;0000;8,56819;;;
160207;0000;6,09958;;;
160208;0000;6,40073;;;
160209;0000;5,30875;;;
160210;0000;8,81291;;;
160211;0000;11,0463;;;
160212;0000;4,78549;;;
160213;0000;3,43654;;;
160214;0000;3,93166;;;
160215;0000;3,60466;;;
160216;0000;4,30054;;;
160217;0000;6,18446;;;
160218;0000;5,29858;;;
160219;0000;4,27448;;;
160220;0000;3,94421;;;
160221;0000;3,3165;;;
160222;0000;2,93525;;;
160223;0000;5,12817;;;
160224;0000;4,8132;;;
160225;0000;4,94766;;;
160226;0000;7,16132;;;
160227;0000;8,61507;;;
160228;0000;6,9202;;;
160229;0000;7,2332;;;
160301;0000;6,96312;;;
160302;0000;9,07495;;;
160303;0000;3,77662;;;
160304;0000;11,3185;;;
160305;0000;10,7425;;;
160306;0000;8,51199;;;
160307;0000;7,07937;;;
160308;0000;6,3232;;;
160309;0000;4,30816;;;
160310;0000;9,02399;;;
160311;0000;7,11045;;;
